," This is a citation overview for a set of 25 documents.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 8 (Of the 25 documents considered for the h-index, 8 have been cited at least 8 times.)",,,,,,,,,,,,,,,,,,,,,
,Scopus is in progress of updating pre-1996 cited references going back to 1970. The h-index might increase over time.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,subtotal,>2018,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,0,0,0,2,9,8,5,7,21,30,51,69,37,239,0,239
2018,"Defect-repairable latent feature extraction of driving behavior via a deep sparse autoencoder","Liu H., Taniguchi T., Takenaka K., Bando T.",14248220,"Sensors (Switzerland)",18, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Toward Intelligent Vehicle Intrusion Detection Using the Neural Knowledge DNA","Li F., Zhang H., Wang J., Liu Y., Gao L., Xu X., Sanin C., Szczerbicki E.",01969722,"Cybernetics and Systems",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Analysis of driving skills based on deep learning using stacked autoencoders","Kagawa T., Chandrasiri N.P.",2407439X,"International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)",2017-, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"DarNet: A deep learning solution for distracted driving detection","Streiffer C., Raghavendra R., Benson T., Srivatsa M.",,"Middleware 2017 - Proceedings of the 2017 International Middleware Conference (Industrial Track)",, ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2017,"Toward Safer Highways: Predicting Driver Stress in Varying Conditions on Habitual Routes","Magana V.C., Munoz-Organero M.",15566072,"IEEE Vehicular Technology Magazine",12, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Deep learning based traffic direction sign detection and determining driving style","Karaduman M., Eren H.",,"2nd International Conference on Computer Science and Engineering, UBMK 2017",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Visualization of Driving Behavior Based on Hidden Feature Extraction by Using Deep Learning","Liu H., Taniguchi T., Tanaka Y., Takenaka K., Bando T.",15249050,"IEEE Transactions on Intelligent Transportation Systems",18, 9,0,0,0,0,0,0,0,0,0,0,0,2,4,6,0,6
2017,"Analysis of driving skills based on deep learning using stacked autoencoders","Kagawa T., Chandrasiri N.P.",2407439X,"International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)",4, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Brain-inspired Cognitive Model with Attention for Self-Driving Cars","Chen S., Zhang S., Shang J., Chen B., Zheng N.",23798920,"IEEE Transactions on Cognitive and Developmental Systems",, ,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2
2017,"DeepSafeDrive: A grammar-aware driver parsing approach to Driver Behavioral Situational Awareness (DB-SAW)","Le T.H.N., Zhu C., Zheng Y., Luu K., Savvides M.",00313203,"Pattern Recognition",66, ,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
2017,"Multi-CNN and decision tree based driving behavior evaluation","Yin S., Duan J., Ouyang P., Liu L., Wei S.",,"Proceedings of the ACM Symposium on Applied Computing",128005, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Adding Intelligence to Cars Using the Neural Knowledge DNA","Zhang H., Li F., Wang J., Wang Z., Shi L., Zhao J., Sanin C., Szczerbicki E.",01969722,"Cybernetics and Systems",48, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Towards neuroimaging real-time driving using convolutional neural networks: Development of CNNs for autonomous steering in the TORCS environment","Musoles C.F.",,"2016 8th Computer Science and Electronic Engineering Conference, CEEC 2016 - Conference Proceedings",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"A framework for evaluating aggressive driving behaviors based on in-vehicle driving records","Lee J., Jang K.",13698478,"Transportation Research Part F: Traffic Psychology and Behaviour",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Reducing the negative effect of defective data on driving behavior segmentation via a deep sparse autoencoder","Liu H., Taniguchi T., Takenaka K., Tanaka Y., Bando T.",,"2016 IEEE 5th Global Conference on Consumer Electronics, GCCE 2016",, ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2016,"A neural network-based autonomous articulated vehicle system considering driver behavior","Zhang W.-M., Han H.-B., Yang J., Yi X.",1000565X,"Huanan Ligong Daxue Xuebao/Journal of South China University of Technology (Natural Science)",44, 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Driver-Behavior Modeling Using On-Road Driving Data: A new application for behavior signal processing","Miyajima C., Takeda K.",10535888,"IEEE Signal Processing Magazine",33, 6,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,3
2015,"Essential feature extraction of driving behavior using a deep learning method","Liu H., Taniguchi T., Tanaka Y., Takenaka K., Bando T.",,"IEEE Intelligent Vehicles Symposium, Proceedings",2015-, ,0,0,0,0,0,0,0,0,0,0,1,3,4,8,0,8
2015,"Learning driver behavior models from traffic observations for decision making and planning","Gindele T., Brechtel S., Dillmann R.",19391390,"IEEE Intelligent Transportation Systems Magazine",7, 1,0,0,0,0,0,0,0,0,0,3,4,14,7,28,0,28
2014,"A hybrid Bayesian Network approach to detect driver cognitive distraction","Liang Y., Lee J.D.",0968090X,"Transportation Research Part C: Emerging Technologies",38, ,0,0,0,0,0,0,0,0,2,7,8,11,4,32,0,32
2014,"Visualization of driving behavior using deep sparse autoencoder","Liu H., Taniguchi T., Takano T., Tanaka Y., Takenaka K., Bando T.",,"IEEE Intelligent Vehicles Symposium, Proceedings",, ,0,0,0,0,0,0,0,0,0,1,6,6,1,14,0,14
2013,"Context-aware driver behavior detection system in intelligent transportation systems","Al-Sultan S., Al-Bayatti A.H., Zedan H.",00189545,"IEEE Transactions on Vehicular Technology",62, 9,0,0,0,0,0,0,0,1,5,9,14,15,6,50,0,50
2013,"A rule-based neural network approach to model driver naturalistic behavior in traffic","Chong L., Abbas M.M., Medina Flintsch A., Higgs B.",0968090X,"Transportation Research Part C: Emerging Technologies",32, ,0,0,0,0,0,0,0,0,4,4,11,5,2,26,0,26
2008,"Cognitive and personality determinants of fitness to drive","Sommer M., Herle M., Hausler J., Risser R., Schutzhofer B., Chaloupka Ch.",13698478,"Transportation Research Part F: Traffic Psychology and Behaviour",11, 5,0,0,0,1,4,5,3,2,5,4,3,5,1,33,0,33
2007,"Nonintrusive detection of driver cognitive distraction in real time using Bayesian networks","Liang Y., Lee J.D., Reyes M.L.",03611981,"Transportation Research Record",, 2018,0,0,0,1,5,3,2,4,5,2,4,6,1,33,0,33
